Created At,Updated At,Location,What was it like playing the game? | I would tell someone who is representing themselves in court to play this game.,What was it like playing the game? | I learned something about going to court.,What was it like playing the game? | I enjoyed playing the game.,What was it like playing the game? | It would have been helpful to play this game before going to court.,Tell us anything else we should know about playing the game.,Have you ever been involved in a court case before?,"If yes, how were you involved?"
5/13/16 20:04,5/13/16 20:04,Arizona,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,"Overall I really liked it, but I do wish there could have been a little more emphasis on trying to settle instead of going to the hearing. I realize that isn't really the point of the game, but I also feel it would be realistic (and, maybe, helpful to some litigants).",Yes,I represented myself when I divorced my ex-wife (she was represented by counsel).
5/16/16 12:21,5/16/16 12:21,,,,,,,,
5/17/16 14:37,5/17/16 14:37,Connecticut,Agree,Agree,Strongly Agree,Strongly Agree,,Yes,Client 
5/18/16 16:24,5/18/16 16:24,Connecticut,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,I learned alot,Yes,Evction
5/25/16 16:43,5/25/16 16:43,Nigeria,Strongly Agree,Agree,Agree,Agree,"The massage was well passed, but, the characters are not very interactive. ",Yes,Conducted a case
5/25/16 16:53,5/25/16 16:53,Nigeria,Strongly Agree,Agree,Agree,Agree,"The massage was well passed, but, the characters are not very interactive. ",Yes,Conducted a case
5/26/16 12:21,5/26/16 12:21,Tennessee,Strongly Agree,Strongly Agree,Strongly Agree,,"When I got the list of things to do to prepare, I thought we were supposed to go throught the list in the order presented...so at number three I picked it.  It sent me to court right away before I had a chance to pick some other items to help prepare.  Please be more clear in your directions at that point.  Let us know that the list presented is not presented in the order you should do them.  I was so frustrated I quit the game at that point.  I didn't want to go unprepared and would not have picked ""go to the courthouse"".  Perhaps saying ""go to your hearing"" could have been more clear.  I thought I was visiting the court house ahead of time as part of my preparations.  thanks.  great idea.",Yes,I have mediated small claims courts for 10 years.
6/10/16 13:08,6/10/16 13:09,Colorado,Strongly Agree,Neutral,Agree,Strongly Agree,The information about preparation is excellent.  Advising people to go to watch a case is good.  You also showed that when a litigant doesn't understand a concept they can ask.  It also shows that you can't predict what will come up in court.,Yes,Litigant and attorney
6/14/16 13:31,6/14/16 13:31,Maryland,Agree,Agree,Agree,Agree,,Yes,Divorce plaintiff
6/22/16 12:14,6/22/16 12:14,Connecticut,Agree,Agree,Agree,Strongly Agree,,Yes,SMALL CLAIMS
6/28/16 11:49,6/28/16 11:49,Connecticut,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,I want to see a resolution to the case.,No,
7/4/16 15:43,7/4/16 15:43,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,Witness
7/5/16 21:55,7/5/16 21:55,,,,,,,,
7/6/16 10:08,7/6/16 10:08,Missouri,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,custody hearing
7/7/16 18:33,7/7/16 18:33,Connecticut,Strongly Agree,Agree,Disagree,Agree,It would have been good to know what the case was about first and who I was or best it would have been great to pick something closer to what my actual case was and be able to pick if I am the plantiff or defendent. It was very long and boring so maybe it would be better if it were explained more in the beginning and choices were able to be made so it was more of what I was in court for and more of my information such as I don't have a boss or children..,Yes,I was the plantiff and I bought witnesses with me yet was never able to use the witnesses as the judge said there was not enough time scheduled.
8/1/16 11:28,8/1/16 11:28,United Kingdom,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,No reference to CPR or time limits or summary judgments. This was written by primary school students.,Yes,I'm an LiP at the Royal Courts of Justice in London.
8/10/16 17:10,8/10/16 17:10,Arizona,Agree,Agree,Somewhat Agree,Somewhat Agree,I want to know who wins - what does the order look like?,Yes,As a litigant.
8/19/16 10:53,8/19/16 10:53,New Jersey,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,I feel very lucky I played this game before going to court.  I'm glad you provided me with this help.,No,
8/22/16 17:05,8/22/16 17:05,Connecticut,Strongly Agree,Agree,Strongly Disagree,Agree,is not funny or not nothing  good figthing in a court for are childrens that ben taken from us,Yes,do not have my childrens they wor ben taken from   me
8/26/16 23:35,8/26/16 23:35,,Agree,Agree,Agree,Agree,,Yes,Plaintiff in divorce case
9/4/16 0:28,9/4/16 0:28,North Carolina,Neutral,Neutral,Neutral,Neutral,never played,Yes,
9/12/16 17:15,9/12/16 17:15,Tennessee,,,,,"It said ""The requested URL /madscience/represent/dev/production/represent/ was not found on this server.""",,
9/15/16 2:21,9/15/16 2:21,Massachusetts,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,Good 
9/28/16 5:45,9/28/16 5:45,California,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Court shouldn't be thought of as a game nor any programs should be designed. Court is about extermination of laws we used to survive and live life ,No,
9/29/16 15:57,9/29/16 15:57,Connecticut,Strongly Agree,Strongly Agree,Agree,Strongly Agree,,No,
10/3/16 18:58,10/3/16 18:58,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,plantiff
10/7/16 17:11,10/7/16 17:11,California,Somewhat Agree,Agree,Strongly Agree,Neutral,"It is quite slow to load. It is fun, but not always clear what you need to do next.",Yes,Defendant in a traffic case
1/3/17 14:16,1/3/17 14:16,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,No,
1/3/17 15:29,1/3/17 15:29,Arizona,Neutral,Somewhat Agree,Neutral,Neutral,,No,
1/18/17 21:47,1/18/17 21:47,Connecticut,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,It kinda insults our intelligence by being a cartoon.,Yes,Respondent
2/1/17 14:43,2/1/17 14:43,Rhode Island,,,,,,,
2/3/17 6:53,2/3/17 6:53,California,,,,,,Yes,landlord
2/8/17 15:12,2/8/17 15:12,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,No,
2/13/17 9:32,2/13/17 9:32,Connecticut,Somewhat Disagree,,,,,,
2/28/17 11:49,2/28/17 11:49,Massachusetts,Neutral,Strongly Disagree,Somewhat Disagree,Strongly Disagree,I just played the boat building part of Mad Scientist and found it confusing that the same button was used for advancing as making a decision - I didn't realize I needed to hit the up and down buttons to view my options first until it started building the boat. I thought he was going to list the choices and then I'd choose.,No,
